date,city A,city B,city C
2016-09-02,64,86,79
2016-09-03,65,86,83
2016-09-04,64,85,82
2016-09-05,60,86,84
2016-09-06,66,84,84
2016-09-07,73,84,82
2016-09-08,66,84,81
2016-09-09,66,84,81
2016-09-10,66,86,80
2016-09-11,66,84,73
2016-09-12,64,82,76
2016-09-13,65,82,72
2016-09-14,64,83,74
2016-09-15,63,85,76
2016-09-16,65,86,73
2016-09-17,68,87,77
2016-09-18,70,84,76
2016-09-19,70,83,70
2016-09-20,67,82,66
2016-09-21,65,80,68
2016-09-22,65,82,66
2016-09-23,64,80,68
2016-09-24,70,84,72
2016-09-25,75,82,76
2016-09-26,75,84,78
2016-09-27,70,84,79
2016-09-28,63,84,81
2016-09-29,64,85,78
2016-09-30,62,84,70
2016-10-01,62,84,66
2016-10-02,62,86,73
2016-10-03,58,82,74
2016-10-04,65,84,78
2016-10-05,60,82,74
2016-10-06,64,82,79
2016-10-07,68,84,71
2016-10-08,68,84,70
2016-10-09,64,84,70
2016-10-10,61,86,65
2016-10-11,72,86,64
2016-10-12,62,84,64
2016-10-13,60,84,62
2016-10-14,66,86,61
2016-10-15,65,86,62
2016-10-16,65,80,64
2016-10-17,62,82,64
2016-10-18,60,85,70
2016-10-19,64,84,70
2016-10-20,64,84,72
2016-10-21,63,84,66
2016-10-22,60,86,61
2016-10-23,57,84,65
2016-10-24,65,84,60
2016-10-25,66,82,56
2016-10-26,64,84,66
2016-10-27,64,84,65
2016-10-28,64,84,54
2016-10-29,66,82,60
2016-10-30,64,82,52
2016-10-31,58,82,58
2016-11-01,58,84,57
2016-11-02,57,84,52
2016-11-03,58,82,56
2016-11-04,60,82,56
2016-11-05,58,84,60
2016-11-06,63,86,59
2016-11-07,62,86,52
2016-11-08,64,82,50
2016-11-09,62,83,52
2016-11-10,62,84,50
2016-11-11,63,84,48
2016-11-12,65,84,58
2016-11-13,59,84,56
2016-11-14,58,87,57
2016-11-15,62,86,60
2016-11-16,56,86,54
2016-11-17,52,84,55
2016-11-18,56,84,52
2016-11-19,60,85,50
2016-11-20,58,85,58
2016-11-21,56,86,54
2016-11-22,50,85,58
2016-11-23,54,85,51
2016-11-24,48,84,35
2016-11-25,49,84,42
2016-11-26,52,86,46
2016-11-27,54,84,52
2016-11-28,56,82,53
2016-11-29,51,82,52
2016-11-30,52,80,46
2016-12-01,50,81,52
2016-12-02,54,82,54
2016-12-03,52,81,51
2016-12-04,48,83,52
2016-12-05,54,80,55
2016-12-06,48,81,54
2016-12-07,48,80,46
2016-12-08,58,82,47
2016-12-09,60,80,50
2016-12-10,60,80,48
2016-12-11,50,80,44
2016-12-12,52,80,43
2016-12-13,54,81,48
2016-12-14,58,82,48
2016-12-15,60,82,44
2016-12-16,52,78,42
2016-12-17,44,78,44
2016-12-18,43,79,48
2016-12-19,44,82,50
2016-12-20,45,84,50
2016-12-21,55,85,52
2016-12-22,50,86,56
2016-12-23,50,84,56
2016-12-24,48,83,48
2016-12-25,45,84,46
2016-12-26,45,86,44
2016-12-27,45,84,54
2016-12-28,48,78,42
2016-12-29,50,76,40
2016-12-30,50,76,44
2016-12-31,48,80,44
